date,ridership Milton UNION STATION Evening,total_train_trips Milton UNION STATION Evening
2020-01-23,1586,2
2020-01-24,1173,2
2020-01-27,1474,2
2020-01-28,1502,2
2020-01-29,1576,2
2020-01-30,1613,2
2020-01-31,1168,2
2020-02-03,1500,2
2020-02-04,1573,2
2020-02-05,1608,2
2020-02-06,1471,2
2020-02-07,1198,2
2020-02-10,1501,2
2020-02-11,1554,2
2020-02-12,1597,2
2020-02-13,1561,2
2020-02-14,1045,2
2020-02-18,1362,2
2020-02-19,1488,2
2020-02-20,1514,2
2020-02-21,1116,2
2020-02-24,1490,2
2020-02-25,1383,1
2020-02-26,1231,2
2020-02-27,1525,2
2020-02-28,1202,2
2020-03-02,1559,2
2020-03-03,1509,2
2020-03-04,1531,2
2020-03-05,1741,2
2020-03-06,1122,2
2020-03-09,1392,2
2020-03-10,1421,2
2020-03-11,1362,2
2020-03-12,1289,2
2020-03-13,879,2
2020-03-16,328,2
2020-03-17,178,2
2020-03-18,78,1
2020-03-19,48,1
2020-03-20,49,1
2020-03-23,41,1
2020-03-24,22,1
2020-03-25,16,1
2020-03-26,16,1
2020-03-27,14,1
2020-03-30,14,1
2020-03-31,13,1
2020-04-01,14,1
2020-04-02,16,1
2020-04-03,9,1
2020-04-06,8,1
2020-04-07,10,1
2020-04-08,10,1
2020-04-09,8,1
2020-04-13,5,1
2020-04-14,10,1
2020-04-15,10,1
2020-04-16,8,1
2020-04-17,8,1
2020-04-20,10,1
2020-04-21,4,1
2020-04-22,7,1
2020-04-23,12,1
2020-04-24,9,1
2020-04-27,6,1
2020-04-28,4,1
2020-04-29,6,1
2020-04-30,9,1
2020-05-01,10,1
2020-05-04,6,1
2020-05-05,6,1
2020-05-06,8,1
2020-05-07,6,1
2020-05-08,9,1
2020-05-11,7,1
2020-05-12,7,1
2020-05-13,8,1
2020-05-14,10,1
2020-05-15,10,1
2020-05-19,12,1
2020-05-20,10,1
2020-05-21,14,1
2020-05-22,7,1
2020-05-25,10,1
2020-05-26,10,1
2020-05-27,14,1
2020-05-28,10,1
2020-05-29,17,1
2020-06-01,16,1
2020-06-02,14,1
2020-06-03,16,1
2020-06-04,20,1
2020-06-05,12,1
2020-06-08,20,1
2020-06-09,16,1
2020-06-10,12,1
2020-06-11,16,1
2020-06-12,14,1
2020-06-15,21,1
2020-06-16,25,1
2020-06-17,20,1
2020-06-18,17,1
2020-06-19,20,1
2020-06-22,17,1
2020-06-23,21,1
2020-06-24,28,1
2020-06-25,29,1
2020-06-26,33,1
2020-06-29,29,1
2020-06-30,36,1
2020-07-02,29,1
2020-07-03,31,1
2020-07-06,33,1
2020-07-07,26,1
2020-07-08,37,1
2020-07-09,31,1
2020-07-10,25,1
2020-07-13,27,1
2020-07-14,24,1
2020-07-15,37,1
2020-07-16,22,1
2020-07-17,32,1
2020-07-20,29,1
2020-07-21,33,1
2020-07-22,27,1
2020-07-23,27,1
2020-07-24,25,1
2020-07-27,28,1
2020-07-28,29,1
2020-07-29,32,1
2020-07-30,33,1
2020-07-31,41,1
2020-08-04,31,1
2020-08-05,39,1
2020-08-06,46,1
2020-08-07,43,1
2020-08-10,31,1
2020-08-11,30,1
2020-08-12,43,1
2020-08-13,47,1
2020-08-14,52,1
2020-08-17,39,1
2020-08-18,54,1
2020-08-19,53,1
2020-08-20,56,1
2020-08-21,62,1
2020-08-24,47,1
2020-08-25,47,1
2020-08-26,59,1
2020-08-27,63,1
2020-08-28,60,1
2020-08-31,58,1
2020-09-01,51,1
2020-09-02,54,1
2020-09-03,63,1
2020-09-04,51,1
2020-09-08,38,1
2020-09-09,43,1
2020-09-10,53,1
2020-09-11,51,1
2020-09-14,50,1
2020-09-15,43,1
2020-09-16,50,1
2020-09-17,62,1
2020-09-18,49,1
2020-09-21,52,1
2020-09-22,43,1
2020-09-23,44,1
2020-09-24,45,1
2020-09-25,48,1
2020-09-28,43,1
2020-09-29,44,1
2020-09-30,45,1
2020-10-01,54,1
2020-10-02,40,1
2020-10-05,33,1
2020-10-06,43,1
2020-10-07,49,1
2020-10-08,44,1
2020-10-09,56,1
2020-10-13,37,1
2020-10-14,40,1
2020-10-15,41,1
2020-10-16,48,1
2020-10-19,39,1
2020-10-20,35,1
2020-10-21,37,1
2020-10-22,43,1
2020-10-23,43,1
2020-10-26,35,1
2020-10-27,46,1
2020-10-28,38,1
2020-10-29,39,1
2020-10-30,46,1
2020-11-02,37,1
2020-11-03,45,1
2020-11-04,43,1
2020-11-05,47,1
2020-11-06,38,1
2020-11-09,42,1
2020-11-10,41,1
2020-11-11,38,1
2020-11-12,47,1
2020-11-13,48,1
2020-11-16,40,1
2020-11-17,36,1
2020-11-18,48,1
2020-11-19,42,1
2020-11-20,51,1
2020-11-23,33,1
2020-11-24,35,1
2020-11-25,27,1
2020-11-26,37,1
2020-11-27,37,1
2020-11-30,36,1
2020-12-01,30,1
2020-12-02,44,1
2020-12-03,31,1
2020-12-04,37,1
2020-12-07,36,1
2020-12-08,25,1
2020-12-09,44,1
2020-12-10,45,1
2020-12-11,35,1
2020-12-14,31,1
2020-12-15,35,1
2020-12-16,33,1
2020-12-17,47,1
2020-12-18,36,1
2020-12-21,33,1
2020-12-22,37,1
2020-12-23,30,1
2020-12-24,7,1
2020-12-29,19,1
2020-12-30,21,1
2020-12-31,21,1
2021-01-04,27,1
2021-01-05,29,1
2021-01-06,30,1
2021-01-07,25,1
2021-01-08,29,1
2021-01-11,31,1
2021-01-12,29,1
2021-01-13,23,1
2021-01-14,32,1
2021-01-15,27,1
2021-01-18,29,1
2021-01-19,30,1
2021-01-20,75,1
2021-01-21,23,1
2021-01-22,27,1
2021-01-25,27,1
2021-01-26,21,1
2021-01-27,23,1
2021-01-28,28,1
2021-01-29,25,1
2021-02-01,21,1
2021-02-02,23,1
2021-02-03,24,1
2021-02-04,35,1
2021-02-05,33,1
2021-02-08,29,1
2021-02-09,27,1
2021-02-10,22,1
2021-02-11,29,1
2021-02-12,29,1
2021-02-16,27,1
2021-02-17,26,1
2021-02-18,34,1
2021-02-19,37,1
2021-02-22,31,1
2021-02-23,29,1
2021-02-24,31,1
2021-02-25,34,1
2021-02-26,45,1
2021-03-01,33,1
2021-03-02,33,1
2021-03-03,33,1
2021-03-04,36,1
2021-03-05,37,1
2021-03-08,37,1
2021-03-09,39,1
2021-03-10,41,1
2021-03-11,37,1
2021-03-12,8,1
2021-03-15,36,1
2021-03-16,41,1
2021-03-17,39,1
2021-03-18,37,1
2021-03-19,43,1
2021-03-22,37,1
2021-03-23,42,1
2021-03-24,41,1
2021-03-25,47,1
2021-03-26,37,1
2021-03-29,40,1
2021-03-30,60,1
2021-03-31,37,1
2021-04-01,51,1
2021-04-05,29,1
2021-04-06,39,1
2021-04-07,37,1
2021-04-08,25,1
2021-04-09,36,1
2021-04-12,27,1
2021-04-13,29,1
2021-04-14,30,1
2021-04-15,29,1
2021-04-16,33,1
2021-04-19,33,1
2021-04-20,27,1
2021-04-21,31,1
2021-04-22,29,1
2021-04-23,36,1
2021-04-26,31,1
2021-04-27,27,1
2021-04-28,31,1
2021-04-29,31,1
2021-04-30,27,1
2021-05-03,19,1
2021-05-04,27,1
2021-05-05,27,1
2021-05-06,20,1
2021-05-07,36,1
2021-05-10,35,1
2021-05-11,31,1
2021-05-12,37,1
2021-05-13,32,1
2021-05-14,29,1
2021-05-17,37,1
2021-05-18,31,1
2021-05-19,37,1
2021-05-20,32,1
2021-05-21,31,1
2021-05-25,37,1
2021-05-26,35,1
2021-05-27,33,1
2021-05-28,40,1
2021-05-31,36,1
2021-06-01,37,1
2021-06-02,37,1
2021-06-03,35,1
2021-06-04,44,1
2021-06-07,37,1
2021-06-08,39,1
2021-06-09,36,1
2021-06-10,36,1
2021-06-11,44,1
2021-06-14,38,1
2021-06-15,37,1
2021-06-16,43,1
2021-06-17,40,1
2021-06-18,43,1
2021-06-21,36,1
2021-06-22,49,1
2021-06-23,45,1
2021-06-24,45,1
2021-06-25,41,1
2021-06-28,51,1
2021-06-29,46,1
2021-06-30,76,1
2021-07-02,44,1
2021-07-05,53,1
2021-07-06,54,1
2021-07-07,51,1
2021-07-08,44,1
2021-07-09,57,1
2021-07-12,50,1
2021-07-13,55,1
2021-07-14,60,1
2021-07-15,54,1
2021-07-16,59,1
2021-07-19,54,1
2021-07-21,66,1
2021-07-22,71,1
2021-07-23,74,1
2021-07-26,59,1
2021-07-27,56,1
2021-07-28,64,1
2021-07-29,65,1
2021-07-30,68,1
2021-08-03,69,1
2021-08-04,74,1
2021-08-05,71,1
2021-08-06,68,1
2021-08-09,56,1
2021-08-10,60,1
2021-08-11,60,1
2021-08-12,75,1
2021-08-13,97,1
2021-08-16,60,1
2021-08-17,71,1
2021-08-18,66,1
2021-08-19,85,1
2021-08-20,71,1
2021-08-23,62,1
2021-08-24,89,1
2021-08-25,82,1
2021-08-26,93,1
2021-08-27,81,1
2021-08-30,95,1
2021-08-31,94,1
2021-09-01,93,1
2021-09-02,97,1
2021-09-03,74,1
2021-09-07,110,2
2021-09-08,131,2
2021-09-09,139,2
2021-09-10,131,2
2021-09-13,124,2
2021-09-14,149,2
2021-09-15,163,2
2021-09-16,163,2
2021-09-17,143,2
2021-09-20,110,2
2021-09-21,130,2
2021-09-22,159,2
2021-09-23,163,2
2021-09-24,147,2
2021-09-27,131,2
2021-09-28,169,2
2021-09-29,190,2
2021-09-30,163,2
2021-10-01,157,2
2021-10-04,154,2
2021-10-05,166,2
2021-10-06,176,2
2021-10-07,166,2
2021-10-08,156,2
2021-10-12,168,2
2021-10-13,183,2
2021-10-14,204,2
2021-10-15,147,2
2021-10-18,157,2
2021-10-19,203,2
2021-10-20,193,2
2021-10-21,197,2
2021-10-22,158,2
2021-10-25,127,2
2021-10-26,197,2
2021-10-27,195,2
2021-10-28,243,2
2021-10-29,117,2
2021-11-01,179,2
2021-11-02,199,2
2021-11-03,239,2
2021-11-04,209,2
2021-11-05,178,2
2021-11-08,162,2
2021-11-09,200,2
2021-11-10,225,2
2021-11-11,168,2
2021-11-12,148,2
2021-11-15,157,2
2021-11-16,208,2
2021-11-17,237,2
2021-11-18,228,2
2021-11-19,194,2
2021-11-22,175,2
2021-11-23,222,2
2021-11-24,237,2
2021-11-25,218,2
2021-11-26,172,2
2021-11-29,183,2
2021-11-30,229,2
2021-12-01,237,2
2021-12-02,217,2
2021-12-03,159,2
2021-12-06,163,2
2021-12-07,202,2
2021-12-08,225,2
2021-12-09,200,2
2021-12-10,169,2
2021-12-13,191,2
2021-12-14,207,2
2021-12-15,220,2
2021-12-16,165,2
2021-12-17,144,2
2021-12-20,126,2
2021-12-21,105,2
2021-12-22,101,2
2021-12-23,89,2
2021-12-24,33,1
2021-12-29,73,2
2021-12-30,59,2
2021-12-31,25,1
2022-01-04,73,2
2022-01-05,71,2
2022-01-06,74,2
2022-01-07,50,2
2022-01-10,44,1
2022-01-11,13,1
2022-01-12,44,1
2022-01-13,47,1
2022-01-14,45,1
2022-01-17,6,1
2022-01-18,45,1
2022-01-19,54,1
2022-01-20,55,1
2022-01-21,67,1
2022-01-24,53,1
2022-01-25,68,1
2022-01-26,54,1
2022-01-27,64,1
2022-01-28,63,1
2022-01-31,71,1
2022-02-01,80,1
2022-02-02,74,1
2022-02-03,73,1
2022-02-04,103,1
2022-02-07,84,1
2022-02-08,103,1
2022-02-09,115,1
2022-02-10,117,1
2022-02-11,92,1
2022-02-14,96,1
2022-02-15,119,1
2022-02-16,128,1
2022-02-17,113,1
2022-02-18,93,1
2022-02-22,101,1
2022-02-23,132,1
2022-02-24,137,1
2022-02-25,99,1
2022-02-28,157,1
2022-03-01,159,1
2022-03-02,181,1
2022-03-03,174,1
2022-03-04,141,1
2022-03-07,157,1
2022-03-08,204,1
2022-03-09,192,1
2022-03-10,176,1
2022-03-11,132,1
2022-03-14,125,1
2022-03-15,189,1
2022-03-16,110,1
2022-03-17,198,1
2022-03-18,163,1
2022-03-21,150,1
2022-03-22,201,1
2022-03-23,169,1
2022-03-24,196,1
2022-03-25,161,1
2022-03-28,147,1
2022-03-29,186,1
2022-03-30,182,1
2022-03-31,242,1
2022-04-01,152,1
2022-04-04,143,1
2022-04-05,189,1
2022-04-06,202,1
2022-04-07,194,1
2022-04-08,132,1
2022-04-11,134,1
2022-04-12,169,1
2022-04-13,175,1
2022-04-14,185,1
2022-04-18,89,1
2022-04-19,191,1
2022-04-20,177,1
2022-04-21,198,1
2022-04-22,138,1
2022-04-25,145,1
2022-04-26,165,1
2022-04-27,206,1
2022-04-28,202,1
2022-04-29,148,1
2022-05-02,126,1
2022-05-03,183,1
2022-05-04,176,1
2022-05-05,249,1
2022-05-06,152,1
2022-05-09,151,1
2022-05-10,202,1
2022-05-11,229,1
2022-05-12,220,1
2022-05-13,125,1
2022-05-16,162,1
2022-05-17,236,1
2022-05-18,249,1
2022-05-19,227,1
2022-05-20,148,1
2022-05-24,198,1
2022-05-25,254,1
2022-05-26,235,1
2022-05-27,151,1
2022-05-30,184,1
2022-05-31,231,1
2022-06-01,241,1
2022-06-02,280,1
2022-06-03,152,1
2022-06-06,166,1
2022-06-07,244,1
2022-06-08,282,1
2022-06-09,293,1
2022-06-10,152,1
2022-06-13,194,1
2022-06-14,280,1
2022-06-15,282,1
2022-06-16,299,1
2022-06-17,223,1
2022-06-20,195,1
2022-06-21,296,1
2022-06-22,294,1
2022-06-23,344,1
2022-06-24,180,1
2022-06-27,211,1
2022-06-28,295,1
2022-06-29,271,1
2022-06-30,207,1
2022-07-04,150,1
2022-07-05,221,1
2022-07-06,267,1
2022-07-07,287,1
2022-07-08,216,1
2022-07-11,197,1
2022-07-12,264,1
2022-07-13,266,1
2022-07-14,276,1
2022-07-15,171,1
2022-07-18,155,1
2022-07-19,252,1
2022-07-20,299,1
2022-07-21,257,1
2022-07-22,188,1
2022-07-25,186,1
2022-07-26,233,1
2022-07-27,277,1
2022-07-28,264,1
2022-07-29,145,1
2022-08-02,223,1
2022-08-03,270,1
2022-08-04,256,1
2022-08-05,186,1
2022-08-08,173,1
2022-08-09,268,1
2022-08-10,287,1
2022-08-11,263,1
2022-08-12,154,1
2022-08-15,192,1
2022-08-16,274,1
2022-08-17,369,1
2022-08-18,296,1
2022-08-19,183,1
2022-08-22,175,1
2022-08-23,289,1
2022-08-24,284,1
2022-08-25,292,1
2022-08-26,198,1
2022-08-29,167,1
2022-08-30,0,1
2022-08-31,295,1
2022-09-01,260,1
2022-09-02,164,1
2022-09-06,305,1
2022-09-07,360,1
2022-09-08,384,1
2022-09-09,245,1
2022-09-12,306,1
2022-09-13,400,1
2022-09-14,454,1
2022-09-15,458,1
2022-09-16,269,1
2022-09-19,318,1
2022-09-20,430,1
2022-09-21,462,1
2022-09-22,412,1
2022-09-23,251,1
2022-09-26,281,1
2022-09-27,390,1
2022-09-28,455,1
2022-09-29,406,1
2022-09-30,202,1
2022-10-03,305,1
2022-10-04,361,1
2022-10-05,412,1
2022-10-06,476,1
2022-10-07,243,1
2022-10-11,307,1
2022-10-12,361,1
2022-10-13,377,1
2022-10-14,212,1
2022-10-17,282,1
2022-10-18,415,1
2022-10-19,403,1
2022-10-20,415,1
2022-10-21,241,1
2022-10-24,265,1
2022-10-25,395,1
2022-10-26,422,1
2022-10-27,438,1
2022-10-28,229,1
2022-10-31,206,1
2022-11-01,404,1
2022-11-02,438,1
2022-11-03,395,1
2022-11-04,237,1
2022-11-07,254,1
2022-11-08,423,1
2022-11-09,416,1
2022-11-10,419,1
2022-11-11,192,1
2022-11-14,267,1
2022-11-15,371,1
2022-11-16,372,1
2022-11-17,419,1
2022-11-18,219,1
2022-11-21,241,1
2022-11-22,355,1
2022-11-23,410,1
2022-11-24,354,1
2022-11-25,236,1
2022-11-28,255,1
2022-11-29,378,1
2022-11-30,404,1
2022-12-01,402,1
2022-12-02,236,1
2022-12-05,618,2
2022-12-06,881,2
2022-12-07,974,2
2022-12-08,1017,2
2022-12-09,490,2
2022-12-12,580,2
2022-12-13,908,2
2022-12-14,918,2
2022-12-15,254,1
2022-12-16,192,1
2022-12-19,491,2
2022-12-20,659,2
2022-12-21,611,2
2022-12-22,389,2
2022-12-23,78,1
2022-12-28,229,2
2022-12-29,219,2
2022-12-30,223,2
